chart_date,rank,song,artist,last_week,peak_rank,weeks_on_board,is_new,image_url
2026-05-02,1,Drop Dead,Olivia Rodrigo,,1,1,True,
2026-05-02,2,Choosin' Texas,Ella Langley,1,1,27,False,
2026-05-02,3,I Just Might,Bruno Mars,3,1,15,False,
2026-05-02,4,Man I Need,Olivia Dean,2,2,35,False,
2026-05-02,5,Be Her,Ella Langley,4,4,10,False,https://charts-static.billboard.com/img/2023/06/ellalangley-yci-180x180.jpg
2026-05-02,6,Ordinary,Alex Warren,5,1,62,False,https://charts-static.billboard.com/img/2025/02/alexwarren-vcb-ordinary-jb8-180x180.jpg
2026-05-02,7,So Easy (To Fall In Love),Olivia Dean,6,6,30,False,https://charts-static.billboard.com/img/2022/01/oliviadean-8k4-180x180.jpg
2026-05-02,8,Daisies,Justin Bieber,18,2,31,False,https://charts-static.billboard.com/img/2009/07/justin-bieber-dj8-180x180.jpg
2026-05-02,9,Golden,"HUNTR/X: EJAE, Audrey Nuna & REI AMI",7,1,44,False,https://charts-static.billboard.com/img/2025/07/huntrxejaeaudreynunareiami-o2t-golden-ozh-180x180.jpg
2026-05-02,10,Folded,Kehlani,9,6,45,False,https://charts-static.billboard.com/img/2025/06/kehlani-48p-folded-beh-180x180.jpg
2026-05-02,11,Beauty And A Beat,Justin Bieber Featuring Nicki Minaj,26,5,26,False,https://charts-static.billboard.com/img/2012/07/justin-bieber-dj8-beautyandabeat-nfc-180x180.jpg
2026-05-02,12,Yukon,Justin Bieber,13,12,41,False,https://charts-static.billboard.com/img/2009/07/justin-bieber-dj8-180x180.jpg
2026-05-02,13,Stateside,PinkPantheress With Zara Larsson,8,6,16,False,https://charts-static.billboard.com/img/2025/05/pinkpantheress-j53-stateside-ska-180x180.jpg
2026-05-02,14,The Fate Of Ophelia,Taylor Swift,11,1,29,False,https://charts-static.billboard.com/img/2025/10/taylor-swift-vug-thefateofophelia-ki7-180x180.jpg
2026-05-02,15,Risk It All,Bruno Mars,12,4,8,False,https://charts-static.billboard.com/img/2010/01/bruno-mars-8dl-180x180.jpg
2026-05-02,16,Dracula,Tame Impala & JENNIE,15,15,30,False,https://charts-static.billboard.com/img/2025/10/tame-impala-nyr-dracula-dtm-180x180.jpg
2026-05-02,17,Opalite,Taylor Swift,17,1,29,False,https://charts-static.billboard.com/img/2025/10/taylor-swift-vug-opalite-05j-180x180.jpg
2026-05-02,18,Sleepless In A Hotel Room,Luke Combs,16,11,15,False,https://charts-static.billboard.com/img/2015/07/luke-combs-vjy-180x180.jpg
2026-05-02,19,Where Is My Husband!,RAYE,14,11,30,False,https://charts-static.billboard.com/img/2025/10/raye-azb-whereismyhusband-mtb-180x180.jpg
2026-05-02,20,Babydoll,Dominic Fike,19,16,11,False,https://charts-static.billboard.com/img/2024/03/dominicfike-0xp-babydoll-6x7-180x180.jpg
2026-05-02,21,Elizabeth Taylor,Taylor Swift,51,3,25,False,https://charts-static.billboard.com/img/2025/10/taylor-swift-vug-elizabethtaylor-fes-180x180.jpg
2026-05-02,22,Swim,BTS,10,1,5,False,https://charts-static.billboard.com/img/2026/03/bts-jtk-swim-8po-180x180.jpg
2026-05-02,23,Homewrecker,sombr,25,22,11,False,https://charts-static.billboard.com/img/2026/02/sombr-2ps-homewrecker-z5l-180x180.jpg
2026-05-02,24,Be By You,Luke Combs,24,12,10,False,https://charts-static.billboard.com/img/2015/07/luke-combs-vjy-180x180.jpg
2026-05-02,25,E85,Don Toliver,23,15,12,False,https://charts-static.billboard.com/img/2019/12/dontoliver-r01-180x180.jpg
2026-05-02,26,Iloveitiloveitiloveit,Bella Kay,22,17,10,False,https://charts-static.billboard.com/img/2026/01/bellakay-xto-iloveitiloveitiloveit-pf5-180x180.jpg
2026-05-02,27,The Fall,Cody Johnson,29,26,30,False,https://charts-static.billboard.com/img/2025/05/cody-johnson-eoy-thefall-rvi-180x180.jpg
2026-05-02,28,Loving Life Again,Ella Langley,21,21,5,False,https://charts-static.billboard.com/img/2023/06/ellalangley-0yx-180x180.jpg
2026-05-02,29,Bottom Of Your Boots,Ella Langley,20,20,2,False,https://charts-static.billboard.com/img/2023/06/ellalangley-0yx-180x180.jpg
2026-05-02,30,Pop Dat Thang,DaBaby,32,29,12,False,https://charts-static.billboard.com/img/2017/01/dababy-a7i-180x180.jpg
2026-05-02,31,Change My Mind,Riley Green,33,27,12,False,https://charts-static.billboard.com/img/2025/07/riley-green-flo-changemymind-xi7-180x180.jpg
2026-05-02,32,Body,Don Toliver,31,14,12,False,https://charts-static.billboard.com/img/2019/12/dontoliver-r01-180x180.jpg
2026-05-02,33,Freakin' Out,Dexter And The Moonrocks,35,33,5,False,https://charts-static.billboard.com/img/2026/03/dexterandthemoonrocks-8rw-freakinout-lio-180x180.jpg
2026-05-02,34,American Girls,Harry Styles,30,4,7,False,https://charts-static.billboard.com/img/2017/04/harry-styles-tuw-180x180.jpg
2026-05-02,35,Earrings,Malcolm Todd,40,35,8,False,https://charts-static.billboard.com/img/2024/12/malcolmtodd-p0c-180x180.jpg
2026-05-02,36,White Keys,Dominic Fike,34,32,9,False,https://charts-static.billboard.com/img/2025/11/dominicfike-0xp-whitekeys-ola-180x180.jpg
2026-05-02,37,Dandelion,Ella Langley,27,27,12,False,https://charts-static.billboard.com/img/2026/02/ellalangley-0yx-dandelion-fzh-180x180.jpg
2026-05-02,38,Die On This Hill,Sienna Spiro,36,19,18,False,https://charts-static.billboard.com/img/2025/11/siennaspiro-o5d-dieonthishill-f28-180x180.jpg
2026-05-02,39,Baby,Justin Bieber Featuring Ludacris,47,5,22,False,https://charts-static.billboard.com/img/2010/02/justin-bieber-dj8-baby-bht-180x180.jpg
2026-05-02,40,Fever Dream,Alex Warren,39,21,8,False,https://charts-static.billboard.com/img/2026/03/alexwarren-vcb-feverdream-vbc-180x180.jpg
2026-05-02,41,Let 'Em Know,T.I.,37,33,13,False,https://charts-static.billboard.com/img/2026/01/ti-crc-letemknow-rv4-180x180.jpg
2026-05-02,42,I Ain't Coming Back,Morgan Wallen Featuring Post Malone,38,8,45,False,https://charts-static.billboard.com/img/2025/05/morgan-wallen-eos-iaintcomingback-l13-180x180.jpg
2026-05-02,43,Confident,Justin Bieber Featuring Chance the Rapper,,41,4,False,https://charts-static.billboard.com/img/2013/12/justin-bieber-dj8-confident-hca-180x180.jpg
2026-05-02,44,The Great Divide,Noah Kahan,45,6,12,False,https://charts-static.billboard.com/img/2026/02/noah-kahan-h8e-thegreatdivide-4f3-180x180.jpg
2026-05-02,45,Days Like These,Luke Combs,46,31,26,False,https://charts-static.billboard.com/img/2025/10/luke-combs-s5l-dayslikethese-eep-180x180.jpg
2026-05-02,46,When Did You Get Hot?,Sabrina Carpenter,41,17,32,False,https://charts-static.billboard.com/img/2014/06/sabrina-carpenter-l0r-180x180.jpg
2026-05-02,47,Midnight Sun,Zara Larsson,44,39,14,False,https://charts-static.billboard.com/img/2025/07/zara-larsson-d0e-midnightsun-5mk-180x180.jpg
2026-05-02,48,Lush Life,Zara Larsson,42,35,19,False,https://charts-static.billboard.com/img/2013/01/zara-larsson-c8t-180x180.jpg
2026-05-02,49,Pinky Up,KATSEYE,28,28,2,False,https://charts-static.billboard.com/img/2026/04/katseye-xrz-pinkyup-xna-180x180.jpg
2026-05-02,50,Motion Party,BossMan Dlow,43,41,6,False,https://charts-static.billboard.com/img/2026/03/bossmandlow-p9g-motionparty-ytu-180x180.jpg
2026-05-02,51,Boston,Stella Lefty,60,51,3,False,https://charts-static.billboard.com/img/2026/04/stellalefty-000-boston-97g-180x180.jpg
2026-05-02,52,Brunette,Tucker Wetmore,49,36,17,False,https://charts-static.billboard.com/img/2024/03/tuckerwetmore-ras-180x180.jpg
2026-05-02,53,What You Saying,Lil Uzi Vert,48,12,17,False,https://charts-static.billboard.com/img/2026/01/lil-uzi-vert-z30-whatyousaying-y59-180x180.jpg
2026-05-02,54,Raindance,Dave & Tems,52,49,12,False,https://charts-static.billboard.com/img/2016/11/dave-rjd-180x180.jpg
2026-05-02,55,McArthur,"HARDY, Eric Church, Morgan Wallen & Tim McGraw",58,31,12,False,https://charts-static.billboard.com/img/2026/02/hardy-rmc-mcarthur-9po-180x180.jpg
2026-05-02,56,Don't We,Morgan Wallen,68,48,11,False,https://charts-static.billboard.com/img/2016/08/morgan-wallen-eos-180x180.jpg
2026-05-02,57,Turn This Truck Around,Jordan Davis,66,57,8,False,https://charts-static.billboard.com/img/2025/09/jordan-davis-wxd-turnthistruckaround-jhc-180x180.jpg
2026-05-02,58,Beautiful Things,Megan Moroney,67,32,21,False,https://charts-static.billboard.com/img/2025/11/meganmoroney-ugl-beautifulthings-3dm-180x180.jpg
2026-05-02,59,She Did It Again,Tyla Featuring Zara Larsson,,59,1,True,https://charts-static.billboard.com/img/2026/05/tyla-mpz-shediditagain-3ms-180x180.jpg
2026-05-02,60,Porch Light,Noah Kahan,72,20,6,False,https://charts-static.billboard.com/img/2017/02/noah-kahan-h8e-180x180.jpg
2026-05-02,61,Potential,sombr,,61,1,True,https://charts-static.billboard.com/img/2026/05/sombr-2ps-potential-4dk-180x180.jpg
2026-05-02,62,What You Need,Tems,65,56,6,False,https://charts-static.billboard.com/img/2021/05/tems-67h-180x180.jpg
2026-05-02,63,In My Room,Julia Wolf,61,57,7,False,https://charts-static.billboard.com/img/2025/03/juliawolf-d84-inmyroom-cm0-180x180.jpg
2026-05-02,64,Dry Spell,Kacey Musgraves,74,55,6,False,https://charts-static.billboard.com/img/2010/12/kacey-musgraves-eao-180x180.jpg
2026-05-02,65,What He'll Never Have,Dylan Scott,56,55,8,False,https://charts-static.billboard.com/img/2024/04/dylan-scott-pnf-whathellneverhave-kmw-180x180.jpg
2026-05-02,66,Rein Me In,Sam Fender & Olivia Dean,73,64,6,False,https://charts-static.billboard.com/img/2026/02/samfender-7g5-reinmein-3y5-180x180.jpg
2026-05-02,67,FDO,Pooh Shiesty,59,12,18,False,https://charts-static.billboard.com/img/2025/12/poohshiesty-klv-fdo-1pe-180x180.jpg
2026-05-02,68,Broken,Ella Langley,53,53,2,False,https://charts-static.billboard.com/img/2023/06/ellalangley-0yx-180x180.jpg
2026-05-02,69,Father,Ye & Travis Scott,64,21,4,False,https://charts-static.billboard.com/img/2003/03/kanye-west-0wf-180x180.jpg
2026-05-02,70,Hate How You Look,Josh Ross,85,70,3,False,https://charts-static.billboard.com/img/2025/05/joshross-5c2-hatehowyoulook-33g-180x180.jpg
2026-05-02,71,Go Away,Weezer,77,63,5,False,https://charts-static.billboard.com/img/1994/07/weezer-qn6-180x180.jpg
2026-05-02,72,Mrs. Trendsetter,Lil Baby,81,64,10,False,https://charts-static.billboard.com/img/2017/11/lilbaby-kyx-180x180.jpg
2026-05-02,73,You & Me Time,Ella Langley,55,55,2,False,https://charts-static.billboard.com/img/2023/06/ellalangley-0yx-180x180.jpg
2026-05-02,74,Chanel,Tyla,79,43,19,False,https://charts-static.billboard.com/img/2025/11/tyla-mpz-chanel-gkl-180x180.jpg
2026-05-02,75,Rethink Some Things,Luke Combs,78,46,5,False,https://charts-static.billboard.com/img/2026/04/luke-combs-vjy-180x180.jpg
2026-05-02,76,Mr. Know It All,Teddy Swims,82,76,2,False,https://charts-static.billboard.com/img/2026/04/teddyswims-vl5-mrknowitall-2xp-180x180.jpg
2026-05-02,77,"Younger You (From The ""Hannah Montana 20th Anniversary Special"")",Miley Cyrus,,69,2,False,https://charts-static.billboard.com/img/2026/04/miley-cyrus-g50-youngeryoufromthehannahmontana20thanniversaryspecial-ub8-180x180.jpg
2026-05-02,78,Don't Tell On Me,Jason Aldean,96,78,2,False,https://charts-static.billboard.com/img/2026/03/jason-aldean-pzx-donttellonme-6tw-180x180.jpg
2026-05-02,79,Obvious,Chris Brown,57,57,2,False,https://charts-static.billboard.com/img/2026/04/chris-brown-t69-obvious-jok-180x180.jpg
2026-05-02,80,Speed Demon,Justin Bieber,,66,2,False,https://charts-static.billboard.com/img/2009/07/justin-bieber-dj8-180x180.jpg
2026-05-02,81,Woman,Kane Brown,100,81,3,False,https://charts-static.billboard.com/img/2026/03/kane-brown-ag5-woman-buw-180x180.jpg
2026-05-02,82,Ever Since U Left Me (I Went Deaf),French Montana & Max B,89,82,5,False,https://charts-static.billboard.com/img/2026/01/french-montana-j83-eversinceuleftmeiwentdeaf-vqh-180x180.jpg
2026-05-02,83,Ferrari,"Clave Especial, Fuerza Regida & Los Gemelos de Sinaloa",,83,1,True,https://charts-static.billboard.com/img/2026/04/claveespecial-b3c-ferrari-jbs-180x180.jpg
2026-05-02,84,I Want You,Cody Johnson,,84,1,True,https://charts-static.billboard.com/img/2014/02/cody-johnson-eoy-180x180.jpg
2026-05-02,85,Self Aware,Temper City,97,85,3,False,https://charts-static.billboard.com/img/2026/03/tempercity-000-selfaware-shi-180x180.jpg
2026-05-02,86,Rocky Mountain Low,Corey Kent & Koe Wetzel,92,84,5,False,https://charts-static.billboard.com/img/2025/12/coreykent-jip-rockymountainlow-d6t-180x180.jpg
2026-05-02,87,Runway,Lady Gaga & Doechii,50,50,2,False,https://charts-static.billboard.com/img/2026/04/lady-gaga-p9u-runway-1wv-180x180.jpg
2026-05-02,88,We Know Us,Ella Langley,54,54,2,False,https://charts-static.billboard.com/img/2023/06/ellalangley-0yx-180x180.jpg
